business_id	full_address	categories	average
WXx3gZnrIysGFnpGMCskwg	79 Vandenburgh AveTroy, NY 12180	List(Shopping, Drugstores)	5.0
1KWaczlXfDi9Z3urqlh_Yw	1080 Danby RdIthaca, NY 14850	List(Food, Bakeries, Coffee & Tea, Cafes, Restaurants)	5.0
JfZY98Jopy8OvYrXqKrF0Q	408 E Upland RdIthaca, NY 14850	List(Optometrists, Health and Medical)	5.0
dkGTj5FVVqN4DbR7uWi8rw	128 E State StIthaca, NY 14850	List(Shopping, Jewelry, Antiques)	5.0
nL6fL-kFpNSCrLdYM7qNZg	3066 BroadwayMorningside HeightsManhattan, NY 10027	List(Barbers, Beauty and Spas)	5.0
_ckbnVhwrD3vEowWVN8SnQ	119 S Cayuga St Ste 301Ithaca, NY 14850	List(Active Life, Yoga, Fitness & Instruction)	5.0
JMQx87SPt0vt71MKniTz6Q	179 Graham RdSte FIthaca, NY 14850	List(Massage, Beauty and Spas)	5.0
KNfrxyHr1oIGaRYAJK-W8Q	414 Elmira Rd#6155Ithaca, NY 14850	List(Hardware Stores, Shopping, Home & Garden)	5.0
oBkgwRPRVa3Mnh9oP7CloQ	3102 7th AveTroy, NY 12180	List(Automotive, Body Shops, Towing)	5.0
5BM0cmJvxaFlFuh0L-b4Ow	217 N Greenbush RdTroy, NY 12180	List(Hardware Stores, Shopping, Home & Garden)	5.0
